,GameID,SeasonID,HomeID,AwayID,WinID,LossID,HomePts,AwayPts,GameDate,Home,Home3PM,Home3PA,Away,Away3PM,Away3PA,HomeWin,AwayWin,3PAResult,3PAABS,3PMResult,3PMABS,3P%Result,3P%ABS
961,201603029,11,9,15,9,15,89,84,3/2/2016,Bentley,16,31,Stonehill,17,32,1,0,0,1,0,1,0,1.5
1293,201901157,14,7,12,12,7,99,113,1/15/2019,So. Connecticut,14,27,Saint Anselm,13,26,0,1,0,1,0,1,0,1.9
895,201601065,11,5,11,11,5,81,83,1/6/2016,New Haven,12,27,Merrimack,11,26,0,1,0,1,0,1,0,2.1
916,201601207,11,7,14,7,14,95,92,1/20/2016,So. Connecticut,11,25,So. New Hampshire,12,26,1,0,0,1,0,1,0,2.2
3311,2015013136,10,36,38,36,38,91,81,1/31/2015,NYIT,10,22,Dist. Columbia,11,23,1,0,0,1,0,1,0,2.3
4821,2019012216,14,16,20,16,20,91,84,1/22/2019,Dominican (N.Y.),9,28,Bloomfield,10,29,1,0,0,1,0,1,0,2.4
423,201112935,6,35,36,36,35,87,100,1/29/2011,Mercy,10,22,NYIT,9,21,0,1,0,1,0,1,0,2.6
1841,2010111327,6,27,10,10,27,93,97,11/13/2010,Goldey-Beacom,9,23,Franklin Pierce,8,22,0,1,0,1,0,1,0,2.7
1535,2009021225,4,25,28,25,28,89,78,2/12/2009,Holy Family,8,20,Chestnut Hill,9,21,1,0,0,1,0,1,0,2.9
3210,2015010338,10,38,30,30,38,72,95,1/3/2015,Dist. Columbia,8,21,Daemen,7,20,0,1,0,1,0,1,0,3.1
2593,2013012910,8,10,3,10,3,70,61,1/29/2013,Franklin Pierce,7,21,American Int'l,8,22,1,0,0,1,0,1,0,3.1
2101,2011111213,7,13,37,37,13,64,70,11/12/2011,Saint Michael's,7,21,Queens (N.Y.),6,20,0,1,0,1,0,1,0,3.3
4935,2019021929,14,29,24,24,29,64,68,2/19/2019,Georgian Court,7,21,Jefferson,6,20,0,1,0,1,0,1,0,3.3
4032,2017011616,12,16,17,16,17,71,70,1/16/2017,Dominican (N.Y.),7,15,Felician,8,16,1,0,0,1,0,1,0,3.3
4096,2017020413,12,13,14,13,14,84,81,2/4/2017,Saint Michael's,6,19,So. New Hampshire,7,20,1,0,0,1,0,1,0,3.4
4469,2018012726,13,26,18,18,26,40,47,1/27/2018,USciences,6,22,Caldwell,5,21,0,1,0,1,0,1,0,3.5
2339,2012021131,7,31,34,34,31,63,73,2/11/2012,St. Thomas Aquinas,6,20,LIU Post,5,19,0,1,0,1,0,1,0,3.7
2179,2011121025,7,25,17,25,17,60,55,12/10/2011,Holy Family,5,19,Felician,6,20,1,0,0,1,0,1,0,3.7
368,201103123,6,3,20,20,3,96,100,3/12/2011,American Int'l,7,16,Bloomfield,6,15,0,1,0,1,0,1,0,3.8
1955,2011011314,6,14,1,1,14,66,72,1/13/2011,So. New Hampshire,5,20,Saint Rose,4,19,0,1,0,1,0,1,0,3.9
1952,2011011116,6,16,17,16,17,78,65,1/11/2011,Dominican (N.Y.),4,19,Felician,5,20,1,0,0,1,0,1,0,3.9
4612,2018111014,14,14,36,14,36,83,65,11/10/2018,So. New Hampshire,5,17,NYIT,6,18,1,0,0,1,0,1,0,3.9
1866,2010112819,6,19,34,19,34,77,73,11/28/2010,Post,5,15,LIU Post,6,16,1,0,0,1,0,1,0,4.2
3068,2014111422,10,22,35,35,22,45,56,11/14/2014,Nyack,6,15,Mercy,5,14,0,1,0,1,0,1,0,4.3
556,201301197,8,7,11,7,11,73,69,1/19/2013,So. Connecticut,4,14,Merrimack,5,15,1,0,0,1,0,1,0,4.7
2876,2014011127,9,27,23,27,23,58,51,1/11/2014,Goldey-Beacom,4,14,Wilmington (Del.),5,15,1,0,0,1,0,1,0,4.7
963,201603127,11,7,31,31,7,90,92,3/12/2016,So. Connecticut,6,24,St. Thomas Aquinas,5,25,0,1,1,1,0,1,0,5
4169,2017022122,12,22,17,22,17,83,78,2/21/2017,Nyack,8,26,Felician,9,25,1,0,1,1,0,1,0,5.2
4327,2017121634,13,34,36,34,36,73,63,12/16/2017,LIU Post,6,25,NYIT,7,24,1,0,1,1,0,1,0,5.2
1164,201801135,13,5,9,5,9,87,84,1/13/2018,New Haven,9,26,Bentley,10,25,1,0,1,1,0,1,0,5.4
843,201503143,10,3,24,3,24,58,53,3/14/2015,American Int'l,4,21,Jefferson,5,20,1,0,1,1,0,1,0,6
4699,2018120821,14,21,19,21,19,79,65,12/8/2018,Concordia (N.Y.),5,21,Post,6,20,1,0,1,1,0,1,0,6.2
2756,2013112029,9,29,35,29,35,87,82,11/20/2013,Georgian Court,6,21,Mercy,7,20,1,0,1,1,0,1,0,6.4
4153,2017021820,12,20,18,18,20,78,86,2/18/2017,Bloomfield,9,21,Caldwell,8,22,0,1,1,1,0,1,0,6.5
2653,2013021621,8,21,24,21,24,81,80,2/16/2013,Concordia (N.Y.),7,21,Jefferson,8,20,1,0,1,1,0,1,0,6.7
3368,2015021432,10,32,30,32,30,63,60,2/14/2015,Bridgeport,7,21,Daemen,8,20,1,0,1,1,0,1,0,6.7
2655,2013021625,8,25,22,25,22,74,64,2/16/2013,Holy Family,4,18,Nyack,5,17,1,0,1,1,0,1,0,7.2
4304,2017120913,13,13,11,11,13,64,71,12/9/2017,Saint Michael's,7,18,Merrimack,6,19,0,1,1,1,0,1,0,7.3
4543,2018021516,13,16,17,16,17,82,72,2/15/2018,Dominican (N.Y.),6,19,Felician,7,18,1,0,1,1,0,1,0,7.3
2221,2012010717,7,17,27,17,27,61,60,1/7/2012,Felician,3,16,Goldey-Beacom,4,15,1,0,1,1,0,1,0,7.9
4292,2017120512,13,12,13,12,13,90,75,12/5/2017,Saint Anselm,8,19,Saint Michael's,9,18,1,0,1,1,0,1,0,7.9
689,201402054,9,4,2,4,2,69,56,2/5/2014,Le Moyne,6,18,Adelphi,7,17,1,0,1,1,0,1,0,7.9
1774,2010021116,5,16,17,17,16,58,60,2/11/2010,Dominican (N.Y.),4,14,Felician,3,15,0,1,1,1,0,1,0,8.6
4426,2018011736,13,36,31,31,36,74,98,1/17/2018,NYIT,6,15,St. Thomas Aquinas,5,16,0,1,1,1,0,1,0,8.7
5187,20140104110,9,24,6,24,6,79,65,1/4/2014,Jefferson,7,17,Pace,8,16,1,0,1,1,0,1,0,8.8
1785,2010021622,5,22,17,17,22,73,80,2/16/2010,Nyack,10,15,Felician,9,16,0,1,1,1,0,1,0,10.4
1601,2009113031,5,31,23,23,31,54,60,11/30/2009,St. Thomas Aquinas,2,9,Wilmington (Del.),1,10,0,1,1,1,0,1,0,12.2
5064,20091130502,5,31,23,23,31,54,60,11/30/2009,St. Thomas Aquinas,2,9,Wilmington (Del.),1,10,0,1,1,1,0,1,0,12.2
286,201012136,6,36,31,36,31,50,45,12/1/2010,NYIT,2,10,St. Thomas Aquinas,3,9,1,0,1,1,0,1,0,13.3
4984,2019030312,14,12,7,7,12,87,97,3/3/2019,Saint Anselm,11,28,So. Connecticut,12,29,0,1,1,1,1,1,1,2.1
967,201611118,12,8,37,37,8,87,93,11/11/2016,Assumption,8,26,Queens (N.Y.),9,27,0,1,1,1,1,1,1,2.5
830,201502186,10,6,7,7,6,74,104,2/18/2015,Pace,9,21,So. Connecticut,10,22,0,1,1,1,1,1,1,2.6
2894,2014011538,9,38,39,39,38,73,101,1/15/2014,Dist. Columbia,9,20,Molloy,10,21,0,1,1,1,1,1,1,2.6
2265,2012012125,7,25,19,25,19,78,70,1/21/2012,Holy Family,9,22,Post,8,21,1,0,1,1,1,1,1,2.8
3037,2014022514,9,14,8,14,8,71,62,2/25/2014,So. New Hampshire,9,18,Assumption,8,17,1,0,1,1,1,1,1,2.9
3075,2014111521,10,21,33,21,33,78,64,11/15/2014,Concordia (N.Y.),9,17,Roberts Wesleyan,8,16,1,0,1,1,1,1,1,2.9
3544,2015121218,11,18,17,18,17,67,57,12/12/2015,Caldwell,8,24,Felician,7,23,1,0,1,1,1,1,1,2.9
4723,2018121638,14,38,25,38,25,73,67,12/16/2018,Dist. Columbia,7,26,Holy Family,6,25,1,0,1,1,1,1,1,2.9
3080,2014111532,10,32,12,12,32,75,90,11/15/2014,Bridgeport,8,19,Saint Anselm,9,20,0,1,1,1,1,1,1,2.9
4436,2018012022,13,22,23,23,22,66,82,1/20/2018,Nyack,7,23,Wilmington (Del.),8,24,0,1,1,1,1,1,1,2.9
4522,2018021016,13,16,23,16,23,72,63,2/10/2018,Dominican (N.Y.),7,23,Wilmington (Del.),6,22,1,0,1,1,1,1,1,3.1
4682,2018120422,14,22,17,22,17,80,69,12/4/2018,Nyack,8,21,Felician,7,20,1,0,1,1,1,1,1,3.1
884,201512206,11,6,39,39,6,63,74,12/20/2015,Pace,7,21,Molloy,8,22,0,1,1,1,1,1,1,3.1
1555,2009022112,4,12,13,13,12,71,75,2/21/2009,Saint Anselm,7,21,Saint Michael's,8,22,0,1,1,1,1,1,1,3.1
174,200913517,4,27,34,34,27,63,93,1/3/2009,Goldey-Beacom,7,17,LIU Post,8,18,0,1,1,1,1,1,1,3.2
1442,2009010327,4,27,34,34,27,63,93,1/3/2009,Goldey-Beacom,7,17,LIU Post,8,18,0,1,1,1,1,1,1,3.2
3626,2016011229,11,29,17,17,29,55,63,1/12/2016,Georgian Court,7,17,Felician,8,18,0,1,1,1,1,1,1,3.2
4463,2018012716,13,16,24,24,16,77,89,1/27/2018,Dominican (N.Y.),7,18,Jefferson,8,19,0,1,1,1,1,1,1,3.2
2839,2014010222,9,22,18,22,18,84,72,1/2/2014,Nyack,7,21,Caldwell,6,20,1,0,1,1,1,1,1,3.3
