TeamID,Team,Conference,Season,GP,Wins,Losses,PPG,FGM,FGA,FGPCT,3PM,3PA,3PPCT,PCTOF3,Tourney
20,Bloomfield,CACC,2008-09,27,21,9,80.2,28.9,66,44,6.4,18,36,27.3,0
18,Caldwell,CACC,2008-09,31,14,17,71.5,25.3,55.8,45,5.3,16.8,31,30.2,0
28,Chestnut Hill,CACC,2008-09,27,7,20,69.1,24.3,61.4,40,6.7,19.2,35,31.2,0
16,Dominican (N.Y.),CACC,2008-09,32,14,19,72.3,25.6,58,44,4.9,14.8,33,25.5,0
17,Felician,CACC,2008-09,29,19,11,74.3,27.3,61.9,44,4.9,15.9,31,25.7,0
27,Goldey-Beacom,CACC,2008-09,25,10,15,65.7,23.8,55.1,43,4.9,14.5,34,26.3,0
25,Holy Family,CACC,2008-09,24,6,18,67.4,24.5,59.8,41,5,15.3,33,25.5,0
24,Jefferson,CACC,2008-09,25,20,6,66.1,22.8,49.9,46,6.1,17.7,35,35.5,1
22,Nyack,CACC,2008-09,30,10,20,69,24.7,59.6,41,5,14,36,23.5,0
19,Post,CACC,2008-09,27,16,12,77.7,28.5,66.4,43,8,23.8,34,35.8,0
26,USciences,CACC,2008-09,16,3,13,58.5,22.6,53.4,42,3.4,10.2,33,19.1,0
23,Wilmington (Del.),CACC,2008-09,26,6,20,65.8,22.5,55.7,40,3.5,11.2,31,20,0
32,Bridgeport,ECC,2008-09,26,18,8,76,28,59.7,47,7.2,18.5,39,31,1
34,LIU Post,ECC,2008-09,23,23,0,90.1,31.6,61.7,51,9.3,22.3,42,36.1,1
35,Mercy,ECC,2008-09,24,1,23,55.6,20.3,53.2,38,3.8,13.3,29,25,0
39,Molloy,ECC,2008-09,24,5,19,70,25.8,62.9,41,3.8,13.1,29,20.8,0
36,NYIT,ECC,2008-09,24,13,11,73.2,24.6,59.2,42,8.1,23.8,34,40.3,0
37,Queens (N.Y.),ECC,2008-09,27,7,20,70.2,24.7,60.7,41,6.3,20.4,31,33.7,0
