,ID,Team,Conference,Season,GP,Wins,Losses,Points,FGM,FGA,TPM,TPA,NCAA
0,2,Adelphi,NE10,2008-09,26,18,8,1753,609,1354,153,451,0
1,2,Adelphi,NE10,2009-10,34,23,11,2400,810,1980,215,691,0
2,2,Adelphi,NE10,2010-11,31,20,11,2092,729,1735,176,530,1
3,2,Adelphi,NE10,2011-12,29,20,9,1823,641,1507,168,518,1
4,2,Adelphi,NE10,2012-13,29,14,15,1761,629,1545,148,436,0
5,2,Adelphi,NE10,2013-14,26,5,21,1558,569,1411,127,407,0
6,2,Adelphi,NE10,2014-15,26,6,20,1853,651,1499,208,593,0
7,2,Adelphi,NE10,2015-16,29,20,9,2315,793,1738,344,920,0
8,2,Adelphi,NE10,2016-17,30,18,12,2595,908,1807,316,850,0
9,2,Adelphi,NE10,2017-18,29,11,18,2484,859,1821,345,960,0
10,2,Adelphi,NE10,2018-19,29,19,10,2369,848,1700,324,803,0
11,3,American Int'l,NE10,2008-09,28,15,13,1845,652,1584,109,408,0
12,3,American Int'l,NE10,2009-10,28,14,14,1918,662,1591,174,549,0
13,3,American Int'l,NE10,2010-11,30,21,9,2101,756,1729,178,499,1
14,3,American Int'l,NE10,2011-12,26,8,18,1543,563,1359,178,472,0
15,3,American Int'l,NE10,2012-13,26,9,17,1679,602,1502,221,614,0
16,3,American Int'l,NE10,2013-14,27,9,18,1751,646,1555,209,641,0
17,3,American Int'l,NE10,2014-15,31,24,7,2402,865,1890,247,679,1
18,3,American Int'l,NE10,2015-16,27,11,16,1999,670,1597,214,621,0
19,3,American Int'l,NE10,2016-17,28,11,17,2038,678,1570,222,596,0
20,3,American Int'l,NE10,2017-18,28,11,17,1833,649,1586,176,578,0
21,3,American Int'l,NE10,2018-19,28,11,17,1968,721,1675,212,639,0
22,8,Assumption,NE10,2008-09,33,23,10,2474,914,2020,234,630,1
23,8,Assumption,NE10,2009-10,29,14,15,2168,795,1854,148,465,0
24,8,Assumption,NE10,2010-11,30,13,17,2223,786,1936,223,696,0
25,8,Assumption,NE10,2011-12,28,14,14,1880,677,1507,199,545,0
26,8,Assumption,NE10,2012-13,30,22,8,2014,729,1612,172,480,1
27,8,Assumption,NE10,2013-14,26,7,19,1666,605,1563,137,494,0
28,8,Assumption,NE10,2014-15,27,8,19,1832,672,1562,100,331,0
29,8,Assumption,NE10,2015-16,26,6,20,1918,668,1554,279,713,0
30,8,Assumption,NE10,2016-17,28,7,21,2012,756,1673,219,564,0
31,8,Assumption,NE10,2017-18,27,7,20,1817,641,1463,242,664,0
32,8,Assumption,NE10,2018-19,28,8,20,1874,701,1575,221,644,0
33,9,Bentley,NE10,2008-09,33,26,7,2627,924,1971,281,756,1
34,9,Bentley,NE10,2009-10,33,26,7,2395,861,1996,241,754,1
35,9,Bentley,NE10,2010-11,33,25,8,2325,799,1858,279,793,1
36,9,Bentley,NE10,2011-12,28,16,12,1990,679,1616,303,793,0
37,9,Bentley,NE10,2012-13,26,11,15,1722,622,1512,198,587,0
38,9,Bentley,NE10,2013-14,29,18,11,2365,834,1770,294,733,0
39,9,Bentley,NE10,2014-15,29,17,12,2318,810,1723,276,730,0
40,9,Bentley,NE10,2015-16,30,21,9,2500,891,1886,319,817,1
41,9,Bentley,NE10,2016-17,27,14,13,2201,772,1692,242,618,0
42,9,Bentley,NE10,2017-18,28,16,12,2235,822,1731,241,615,0
43,9,Bentley,NE10,2018-19,29,19,10,2309,811,1728,253,644,0
44,20,Bloomfield,CACC,2008-09,27,21,9,2166,781,1781,173,487,0
45,20,Bloomfield,CACC,2009-10,27,19,9,2251,813,1879,176,572,0
46,20,Bloomfield,CACC,2010-11,33,23,10,2856,1013,2233,277,726,1
